Grade;original_firstorder_10Percentile;original_firstorder_90Percentile;original_firstorder_Energy;original_firstorder_Entropy;original_firstorder_InterquartileRange;original_firstorder_Kurtosis;original_firstorder_Maximum;original_firstorder_MeanAbsoluteDeviation;original_firstorder_Mean;original_firstorder_Median;original_firstorder_Minimum;original_firstorder_Range;original_firstorder_RobustMeanAbsoluteDeviation;original_firstorder_RootMeanSquared;original_firstorder_Skewness;original_firstorder_TotalEnergy;original_firstorder_Uniformity;original_firstorder_Variance;original_gldm_DependenceEntropy;original_gldm_DependenceNonUniformity;original_gldm_DependenceNonUniformityNormalized;original_gldm_DependenceVariance;original_gldm_GrayLevelNonUniformity;original_gldm_GrayLevelVariance;original_gldm_HighGrayLevelEmphasis;original_gldm_LargeDependenceEmphasis;original_gldm_LargeDependenceHighGrayLevelEmphasis;original_gldm_LargeDependenceLowGrayLevelEmphasis;original_gldm_LowGrayLevelEmphasis;original_gldm_SmallDependenceEmphasis;original_gldm_SmallDependenceHighGrayLevelEmphasis;original_gldm_SmallDependenceLowGrayLevelEmphasis;original_glcm_Autocorrelation;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_Id;original_glcm_Idm;original_glcm_Idmn;original_glcm_Idn;original_glcm_Imc1;original_glcm_Imc2;original_glcm_InverseVariance;original_glcm_JointAverage;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_MCC;original_glcm_MaximumProbability;original_glcm_SumAverage;original_glcm_SumEntropy;original_glcm_SumSquares;original_glrlm_GrayLevelNonUniformity;original_glrlm_GrayLevelNonUniformityNormalized;original_glrlm_GrayLevelVariance;original_glrlm_HighGrayLevelRunEmphasis;original_glrlm_LongRunEmphasis;original_glrlm_LongRunHighGrayLevelEmphasis;original_glrlm_LongRunLowGrayLevelEmphasis;original_glrlm_LowGrayLevelRunEmphasis;original_glrlm_RunEntropy;original_glrlm_RunLengthNonUniformity;original_glrlm_RunLengthNonUniformityNormalized;original_glrlm_RunPercentage;original_glrlm_RunVariance;original_glrlm_ShortRunEmphasis;original_glrlm_ShortRunHighGrayLevelEmphasis;original_glrlm_ShortRunLowGrayLevelEmphasis;original_glszm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformityNormalized;original_glszm_GrayLevelVariance;original_glszm_HighGrayLevelZoneEmphasis;original_glszm_LargeAreaEmphasis;original_glszm_LargeAreaHighGrayLevelEmphasis;original_glszm_LargeAreaLowGrayLevelEmphasis;original_glszm_LowGrayLevelZoneEmphasis;original_glszm_SizeZoneNonUniformity;original_glszm_SizeZoneNonUniformityNormalized;original_glszm_SmallAreaEmphasis;original_glszm_SmallAreaHighGrayLevelEmphasis;original_glszm_SmallAreaLowGrayLevelEmphasis;original_glszm_ZoneEntropy;original_glszm_ZonePercentage;original_glszm_ZoneVariance;original_ngtdm_Busyness;original_ngtdm_Coarseness;original_ngtdm_Complexity;original_ngtdm_Contrast;original_ngtdm_Strength
0.00;95.00;116.00;56550202.00;0.82;14.00;1.98;123.00;6.92;106.37;108.00;87.00;36.00;5.61;106.67;-0.28;56550202.00;0.62;64.20;1.97;3246.54;0.65;1.46;3074.18;0.19;3.23;73.41;240.34;31.68;0.44;0.02;0.05;0.01;3.21;1.21;-0.69;0.72;0.04;0.90;0.04;0.23;0.04;0.98;0.98;0.99;0.99;-0.73;0.83;0.04;1.74;0.58;1.05;0.90;0.72;3.49;1.01;0.19;167.74;0.52;0.24;2.81;505.81;1758.42;192.66;0.55;5.47;19.16;0.06;0.06;242.11;0.17;0.45;0.10;9.13;0.57;0.21;3.06;570362.75;1988447.56;215841.55;0.48;3.00;0.19;0.17;0.62;0.06;3.27;0.00;473874.86;38.26;0.01;0.04;0.01;0.01
0.00;143.00;151.00;129136732.00;0.86;4.00;4.67;169.00;2.64;147.53;148.00;129.00;40.00;1.89;147.57;-0.46;129136732.00;0.59;11.70;3.06;1680.73;0.28;3.12;3523.64;0.20;1.85;60.18;100.52;50.09;0.79;0.03;0.06;0.02;1.77;0.93;0.50;0.65;0.16;0.61;0.16;0.63;0.13;0.92;0.92;0.97;0.95;-0.30;0.63;0.16;1.28;0.46;1.46;0.61;0.64;2.57;1.30;0.20;538.17;0.50;0.25;2.41;76.62;109.63;68.37;0.65;4.56;134.51;0.12;0.18;43.18;0.28;0.80;0.15;53.77;0.69;0.16;3.42;123106.49;156464.72;114766.93;0.39;6.26;0.08;0.21;0.68;0.10;4.62;0.01;117326.59;1566.62;0.00;0.16;0.03;0.00
0.00;144.00;151.00;68371663.00;0.90;4.00;2.86;161.00;2.41;147.77;148.00;139.00;22.00;1.80;147.80;-0.26;68371663.00;0.57;8.68;2.96;1068.13;0.34;2.90;1786.67;0.21;1.94;62.79;114.79;49.79;0.77;0.02;0.05;0.02;1.88;0.99;0.50;0.73;0.13;0.70;0.13;0.55;0.11;0.94;0.94;0.97;0.96;-0.41;0.72;0.13;1.31;0.46;1.43;0.70;0.62;2.63;1.30;0.22;249.84;0.51;0.25;2.33;107.42;165.27;92.95;0.67;4.70;56.93;0.11;0.16;62.01;0.26;0.69;0.15;17.73;0.54;0.23;2.91;92557.58;160230.12;75639.44;0.52;2.58;0.08;0.18;0.57;0.08;4.23;0.01;83561.34;1531.72;0.01;0.13;0.03;0.01
0.00;134.00;148.00;79962897.00;0.27;9.00;2.15;155.00;4.54;141.25;141.00;125.00;30.00;3.71;141.35;-0.06;79962897.00;0.91;28.43;1.46;2451.41;0.61;1.74;3645.48;0.04;1.14;72.47;76.69;71.41;0.96;0.02;0.03;0.02;1.12;0.35;0.20;0.13;0.04;0.50;0.04;0.26;0.04;0.98;0.98;0.99;0.99;-0.27;0.37;0.04;1.05;0.87;0.47;0.50;0.93;2.09;0.43;0.04;168.80;0.57;0.21;1.93;401.07;407.26;399.52;0.77;4.97;20.68;0.07;0.07;202.39;0.23;0.75;0.09;23.30;0.86;0.07;3.78;270374.30;270986.41;270221.27;0.31;3.07;0.11;0.26;1.03;0.06;3.39;0.01;248404.47;51.63;0.01;0.04;0.00;0.01
0.00;110.00;137.00;47910250.00;1.00;23.00;1.20;142.00;11.15;123.51;123.00;102.00;40.00;10.53;124.04;-0.01;47910250.00;0.50;131.84;1.80;2408.43;0.77;0.86;1557.03;0.25;2.49;76.46;190.67;47.91;0.63;0.01;0.04;0.01;2.49;1.00;0.01;1.00;0.00;0.99;0.00;0.03;0.00;1.00;1.00;1.00;1.00;-0.97;0.92;0.00;1.50;0.50;1.03;0.99;0.50;3.00;1.03;0.25;59.39;0.50;0.25;2.48;880.51;2189.25;553.32;0.63;5.05;8.36;0.07;0.04;132.96;0.05;0.12;0.03;2.60;0.52;0.24;2.20;964115.60;2403756.80;604205.30;0.70;1.00;0.20;0.26;0.86;0.11;2.32;0.00;576235.76;5.90;0.17;0.00;0.00;0.17
0.00;138.00;143.00;35267997.00;0.02;3.00;3.85;150.00;1.74;140.39;140.00;133.00;17.00;1.28;140.41;0.38;35267997.00;1.00;4.88;0.73;1414.13;0.79;0.79;1783.01;0.00;1.01;76.84;76.85;76.83;1.00;0.01;0.02;0.01;1.00;0.01;0.00;0.00;0.00;0.08;0.00;0.03;0.00;1.00;1.00;1.00;1.00;-0.05;0.02;0.00;1.00;0.99;0.04;0.08;1.00;2.00;0.03;0.00;57.25;0.92;0.04;1.13;1030.78;1030.96;1030.74;0.97;4.12;4.81;0.08;0.03;138.02;0.06;0.18;0.03;1.67;0.56;0.22;3.00;1063267.00;1063272.00;1063265.75;0.50;1.00;0.33;0.42;1.67;0.10;1.58;0.00;707653.56;1.49;0.34;0.00;0.00;0.35
0.00;106.00;125.00;73635463.00;0.65;15.00;1.52;134.00;7.38;115.79;116.00;99.00;35.00;6.44;116.07;-0.01;73635463.00;0.73;63.25;2.09;2948.63;0.54;2.13;3983.04;0.14;4.80;69.96;323.62;16.28;0.23;0.02;0.10;0.00;4.76;1.04;0.59;0.47;0.07;0.74;0.07;0.37;0.07;0.96;0.96;0.99;0.98;-0.48;0.68;0.07;2.16;0.66;0.99;0.74;0.80;4.32;0.92;0.14;265.99;0.51;0.26;5.93;315.23;1347.81;76.41;0.20;5.14;46.55;0.09;0.10;193.23;0.24;1.60;0.05;13.97;0.45;0.44;6.61;355976.13;1495068.68;87017.62;0.24;2.68;0.09;0.19;1.18;0.05;4.50;0.01;324886.48;29.13;0.01;0.28;0.00;0.01
0.00;130.00;158.00;90694151.00;1.03;23.00;1.27;168.00;11.60;144.36;144.00;121.00;47.00;10.56;144.86;-0.03;90694151.00;0.50;145.49;1.97;3121.87;0.72;1.10;2146.39;0.26;6.42;75.40;485.35;13.79;0.19;0.02;0.10;0.00;6.41;1.16;0.01;1.01;0.02;0.96;0.02;0.13;0.02;0.99;0.99;1.00;1.00;-0.88;0.91;0.02;2.48;0.48;1.16;0.97;0.50;4.96;1.14;0.26;93.31;0.45;0.34;6.06;727.10;4566.62;135.81;0.23;5.71;8.97;0.04;0.05;248.29;0.13;0.47;0.06;8.06;0.47;0.33;3.24;530124.24;3417540.94;96505.35;0.51;3.00;0.18;0.38;0.78;0.27;3.38;0.00;465488.65;5.83;0.03;0.06;0.00;0.09
0.00;152.00;162.00;89104361.00;0.15;8.00;2.17;172.00;3.66;157.05;157.00;145.00;27.00;2.91;157.11;-0.05;89104361.00;0.96;18.08;1.12;2516.50;0.70;1.36;3461.20;0.02;3.94;74.74;297.44;19.07;0.27;0.02;0.06;0.01;3.93;0.15;-0.09;0.06;0.02;0.44;0.02;0.15;0.02;0.99;0.99;1.00;0.99;-0.25;0.26;0.02;1.98;0.94;0.25;0.44;0.97;3.96;0.23;0.02;127.27;0.65;0.18;3.32;600.40;2398.45;150.88;0.42;4.84;12.39;0.06;0.05;237.43;0.20;0.34;0.17;16.40;0.82;0.09;1.30;312430.00;1249549.90;78150.03;0.93;4.70;0.24;0.46;0.46;0.46;2.48;0.01;279849.75;10.48;0.02;0.02;0.00;0.02
1.00;67.00;111.00;127772396.00;1.53;25.00;2.49;126.00;13.59;90.53;92.00;43.00;83.00;10.00;92.04;-0.36;127772396.00;0.37;276.86;2.83;9183.01;0.61;1.74;5652.79;0.52;10.43;72.20;759.61;8.84;0.13;0.02;0.18;0.00;10.42;9.55;-0.96;2.02;0.05;0.95;0.05;0.28;0.05;0.98;0.98;1.00;0.99;-0.80;0.96;0.05;3.15;0.34;1.83;0.95;0.46;6.30;1.78;0.52;398.35;0.35;0.62;9.70;402.94;4380.86;45.89;0.15;6.28;71.14;0.06;0.08;213.65;0.20;1.96;0.04;20.59;0.32;0.78;10.45;453097.03;4990014.55;50073.36;0.16;7.50;0.12;0.31;3.16;0.05;4.91;0.00;397563.16;15.37;0.00;0.51;0.00;0.03
